date,time,obs
01/04/2005,91,0
02/04/2005,92,0
03/04/2005,93,0
04/04/2005,94,0
05/04/2005,95,0
06/04/2005,96,0
07/04/2005,97,0
08/04/2005,98,0
09/04/2005,99,0
10/04/2005,100,0
11/04/2005,101,0
12/04/2005,102,0
13/04/2005,103,0
14/04/2005,104,0
15/04/2005,105,0
16/04/2005,106,0
17/04/2005,107,0
18/04/2005,108,0
19/04/2005,109,0
20/04/2005,110,0
21/04/2005,111,0
22/04/2005,112,0
23/04/2005,113,0
24/04/2005,114,0
25/04/2005,115,0
26/04/2005,116,0
27/04/2005,117,0
28/04/2005,118,0
29/04/2005,119,0
30/04/2005,120,0
01/05/2005,121,0
02/05/2005,122,0
03/05/2005,123,0
04/05/2005,124,0
05/05/2005,125,0
06/05/2005,126,0
07/05/2005,127,0
08/05/2005,128,0
09/05/2005,129,0
10/05/2005,130,0
11/05/2005,131,0
12/05/2005,132,0
13/05/2005,133,0
14/05/2005,134,0
15/05/2005,135,0
16/05/2005,136,0
17/05/2005,137,0
18/05/2005,138,0
19/05/2005,139,0
20/05/2005,140,0
21/05/2005,141,0
22/05/2005,142,0
23/05/2005,143,0
24/05/2005,144,0
25/05/2005,145,0
26/05/2005,146,0
27/05/2005,147,0
28/05/2005,148,0
29/05/2005,149,0
30/05/2005,150,0
31/05/2005,151,0
01/06/2005,152,0
02/06/2005,153,0
03/06/2005,154,0
04/06/2005,155,0
05/06/2005,156,0
06/06/2005,157,0
07/06/2005,158,0
08/06/2005,159,0
09/06/2005,160,0
10/06/2005,161,0
11/06/2005,162,0
12/06/2005,163,0
13/06/2005,164,0
14/06/2005,165,0
15/06/2005,166,0
16/06/2005,167,0
17/06/2005,168,0
18/06/2005,169,0
19/06/2005,170,0
20/06/2005,171,0
21/06/2005,172,0
22/06/2005,173,0
23/06/2005,174,0
24/06/2005,175,0
25/06/2005,176,0
26/06/2005,177,0
27/06/2005,178,0
28/06/2005,179,0
29/06/2005,180,0
30/06/2005,181,0
01/07/2005,182,0
02/07/2005,183,0
03/07/2005,184,0
04/07/2005,185,0
05/07/2005,186,0
06/07/2005,187,0
07/07/2005,188,0
08/07/2005,189,0
09/07/2005,190,0
10/07/2005,191,0
11/07/2005,192,0
12/07/2005,193,0
13/07/2005,194,0
14/07/2005,195,0
15/07/2005,196,0
16/07/2005,197,0
17/07/2005,198,0
18/07/2005,199,0
19/07/2005,200,0
20/07/2005,201,0
21/07/2005,202,0
22/07/2005,203,0
23/07/2005,204,0
24/07/2005,205,0
25/07/2005,206,0
26/07/2005,207,0
27/07/2005,208,0
28/07/2005,209,0
29/07/2005,210,0
30/07/2005,211,0
31/07/2005,212,0
01/08/2005,213,0
02/08/2005,214,0
03/08/2005,215,0
04/08/2005,216,0
05/08/2005,217,0
06/08/2005,218,0
07/08/2005,219,0
08/08/2005,220,0
09/08/2005,221,0
10/08/2005,222,0
11/08/2005,223,0
12/08/2005,224,0
13/08/2005,225,0
14/08/2005,226,0
15/08/2005,227,0
16/08/2005,228,0
17/08/2005,229,0
18/08/2005,230,0
19/08/2005,231,0
20/08/2005,232,0
21/08/2005,233,0
22/08/2005,234,0
23/08/2005,235,0
24/08/2005,236,0
25/08/2005,237,0
26/08/2005,238,0
27/08/2005,239,0
28/08/2005,240,0
29/08/2005,241,0
30/08/2005,242,0
31/08/2005,243,0
01/09/2005,244,0
02/09/2005,245,0
03/09/2005,246,0
04/09/2005,247,0
05/09/2005,248,0
06/09/2005,249,0
07/09/2005,250,0
08/09/2005,251,0
09/09/2005,252,0
10/09/2005,253,0
11/09/2005,254,0
12/09/2005,255,0
13/09/2005,256,0
14/09/2005,257,0
15/09/2005,258,0
16/09/2005,259,0
17/09/2005,260,0
18/09/2005,261,0
19/09/2005,262,0
20/09/2005,263,0
21/09/2005,264,0
22/09/2005,265,0
23/09/2005,266,0
24/09/2005,267,0
25/09/2005,268,0
26/09/2005,269,0
27/09/2005,270,0
28/09/2005,271,0
29/09/2005,272,0
30/09/2005,273,0
01/10/2005,274,0
02/10/2005,275,0
03/10/2005,276,0
04/10/2005,277,0
05/10/2005,278,0
06/10/2005,279,0
07/10/2005,280,0
08/10/2005,281,0
09/10/2005,282,0
10/10/2005,283,0
11/10/2005,284,0
12/10/2005,285,0
13/10/2005,286,0
14/10/2005,287,0
15/10/2005,288,0
16/10/2005,289,0
17/10/2005,290,0
18/10/2005,291,0
19/10/2005,292,0
20/10/2005,293,0
21/10/2005,294,0
22/10/2005,295,0
23/10/2005,296,0
24/10/2005,297,0
25/10/2005,298,0
26/10/2005,299,0
27/10/2005,300,0
28/10/2005,301,0
29/10/2005,302,0
30/10/2005,303,0
31/10/2005,304,0
01/11/2005,305,0
02/11/2005,306,0
03/11/2005,307,0
04/11/2005,308,0
05/11/2005,309,0
06/11/2005,310,0
07/11/2005,311,0
08/11/2005,312,0
09/11/2005,313,0
10/11/2005,314,0
11/11/2005,315,0
12/11/2005,316,0
13/11/2005,317,0
14/11/2005,318,0
15/11/2005,319,0
16/11/2005,320,0
17/11/2005,321,0
18/11/2005,322,0
19/11/2005,323,0
20/11/2005,324,0
21/11/2005,325,0
22/11/2005,326,0
23/11/2005,327,0
24/11/2005,328,0
25/11/2005,329,0
26/11/2005,330,0
27/11/2005,331,0
28/11/2005,332,0
29/11/2005,333,0
30/11/2005,334,0
01/12/2005,335,0
02/12/2005,336,0
03/12/2005,337,0
04/12/2005,338,0
05/12/2005,339,0
06/12/2005,340,0
07/12/2005,341,0
08/12/2005,342,0
09/12/2005,343,0
10/12/2005,344,0
11/12/2005,345,0
12/12/2005,346,0
13/12/2005,347,0
14/12/2005,348,0
15/12/2005,349,0
16/12/2005,350,0
17/12/2005,351,0
18/12/2005,352,0
19/12/2005,353,0
20/12/2005,354,0
21/12/2005,355,0
22/12/2005,356,0
23/12/2005,357,0
24/12/2005,358,0
25/12/2005,359,0
26/12/2005,360,0
27/12/2005,361,0
28/12/2005,362,0
29/12/2005,363,0
30/12/2005,364,0
31/12/2005,365,0
01/01/2006,366,0
02/01/2006,367,0
03/01/2006,368,0
04/01/2006,369,0
05/01/2006,370,0
06/01/2006,371,0
07/01/2006,372,0
08/01/2006,373,0
09/01/2006,374,0
10/01/2006,375,0
11/01/2006,376,0
12/01/2006,377,0
13/01/2006,378,0
14/01/2006,379,0
15/01/2006,380,0
16/01/2006,381,0
17/01/2006,382,0
18/01/2006,383,0
19/01/2006,384,0
20/01/2006,385,0
21/01/2006,386,0
22/01/2006,387,0
23/01/2006,388,0
24/01/2006,389,0
25/01/2006,390,0
26/01/2006,391,0
27/01/2006,392,0
28/01/2006,393,0
29/01/2006,394,0
30/01/2006,395,0
31/01/2006,396,0
01/02/2006,397,0
02/02/2006,398,0
03/02/2006,399,0
04/02/2006,400,0
05/02/2006,401,0
06/02/2006,402,0
07/02/2006,403,0
08/02/2006,404,0
09/02/2006,405,0
10/02/2006,406,0
11/02/2006,407,0
12/02/2006,408,0
13/02/2006,409,0
14/02/2006,410,0
15/02/2006,411,0
16/02/2006,412,0
17/02/2006,413,0
18/02/2006,414,0
19/02/2006,415,0
