date,time,obs
01/01/2016,91,0
02/01/2016,92,0
03/01/2016,93,0
04/01/2016,94,0
05/01/2016,95,0
06/01/2016,96,0
07/01/2016,97,0
08/01/2016,98,0
09/01/2016,99,0
10/01/2016,100,0
11/01/2016,101,0
12/01/2016,102,0
13/01/2016,103,0
14/01/2016,104,0
15/01/2016,105,0
16/01/2016,106,0
17/01/2016,107,0
18/01/2016,108,0
19/01/2016,109,0
20/01/2016,110,0
21/01/2016,111,0
22/01/2016,112,0
23/01/2016,113,0
24/01/2016,114,0
25/01/2016,115,0
26/01/2016,116,0
27/01/2016,117,0
28/01/2016,118,0
29/01/2016,119,0
30/01/2016,120,0
31/01/2016,121,0
01/02/2016,122,0
02/02/2016,123,0
03/02/2016,124,0
04/02/2016,125,0
05/02/2016,126,0
06/02/2016,127,0
07/02/2016,128,0
08/02/2016,129,0
09/02/2016,130,0
10/02/2016,131,0
11/02/2016,132,0
12/02/2016,133,0
13/02/2016,134,0
14/02/2016,135,0
15/02/2016,136,0
16/02/2016,137,0
17/02/2016,138,0
18/02/2016,139,0
19/02/2016,140,0
20/02/2016,141,0
21/02/2016,142,0
22/02/2016,143,0
23/02/2016,144,0
24/02/2016,145,0
25/02/2016,146,0
26/02/2016,147,0
27/02/2016,148,0
28/02/2016,149,0
29/02/2016,150,0
01/03/2016,151,0
02/03/2016,152,0
03/03/2016,153,0
04/03/2016,154,0
05/03/2016,155,0
06/03/2016,156,0
07/03/2016,157,0
08/03/2016,158,0
09/03/2016,159,0
10/03/2016,160,0
11/03/2016,161,0
12/03/2016,162,0
13/03/2016,163,0
14/03/2016,164,0
15/03/2016,165,0
16/03/2016,166,0
17/03/2016,167,0
18/03/2016,168,0
19/03/2016,169,0
20/03/2016,170,0
21/03/2016,171,0
22/03/2016,172,0
23/03/2016,173,0
24/03/2016,174,0
25/03/2016,175,0
26/03/2016,176,0
27/03/2016,177,0
28/03/2016,178,0
29/03/2016,179,0
30/03/2016,180,0
31/03/2016,181,0
01/04/2016,182,0
02/04/2016,183,0
03/04/2016,184,0
04/04/2016,185,0
05/04/2016,186,0
06/04/2016,187,0
07/04/2016,188,0
08/04/2016,189,0
09/04/2016,190,0
10/04/2016,191,0
11/04/2016,192,0
12/04/2016,193,0
13/04/2016,194,0
14/04/2016,195,0
15/04/2016,196,0
16/04/2016,197,0
17/04/2016,198,0
18/04/2016,199,0
19/04/2016,200,0
20/04/2016,201,0
21/04/2016,202,0
22/04/2016,203,0
23/04/2016,204,0
24/04/2016,205,0
25/04/2016,206,0
26/04/2016,207,0
27/04/2016,208,0
28/04/2016,209,0
29/04/2016,210,0
30/04/2016,211,0
01/05/2016,212,0
02/05/2016,213,0
03/05/2016,214,0
04/05/2016,215,0
05/05/2016,216,0
06/05/2016,217,0
07/05/2016,218,0
08/05/2016,219,0
09/05/2016,220,0
10/05/2016,221,0
11/05/2016,222,0
12/05/2016,223,0
13/05/2016,224,0
14/05/2016,225,0
15/05/2016,226,0
16/05/2016,227,0
17/05/2016,228,0
18/05/2016,229,0
19/05/2016,230,0
20/05/2016,231,0
21/05/2016,232,0
22/05/2016,233,0
23/05/2016,234,0
24/05/2016,235,0
25/05/2016,236,0
26/05/2016,237,0
27/05/2016,238,0
28/05/2016,239,0
29/05/2016,240,0
30/05/2016,241,0
31/05/2016,242,0
01/06/2016,243,0
02/06/2016,244,0
03/06/2016,245,0
04/06/2016,246,0
05/06/2016,247,0
06/06/2016,248,0
07/06/2016,249,0
08/06/2016,250,0
09/06/2016,251,0
10/06/2016,252,0
11/06/2016,253,0
12/06/2016,254,0
13/06/2016,255,0
14/06/2016,256,0
15/06/2016,257,0
16/06/2016,258,0
17/06/2016,259,0
18/06/2016,260,0
19/06/2016,261,0
20/06/2016,262,0
21/06/2016,263,0
22/06/2016,264,0
23/06/2016,265,0
24/06/2016,266,0
25/06/2016,267,0
26/06/2016,268,0
27/06/2016,269,0
28/06/2016,270,0
29/06/2016,271,0
30/06/2016,272,0
01/07/2016,273,0
02/07/2016,274,0
03/07/2016,275,0
04/07/2016,276,0
05/07/2016,277,0
06/07/2016,278,0
07/07/2016,279,0
08/07/2016,280,0
09/07/2016,281,0
10/07/2016,282,0
11/07/2016,283,0
12/07/2016,284,0
13/07/2016,285,0
14/07/2016,286,0
15/07/2016,287,0
16/07/2016,288,0
17/07/2016,289,0
18/07/2016,290,0
19/07/2016,291,0
20/07/2016,292,0
21/07/2016,293,0
22/07/2016,294,0
23/07/2016,295,0
24/07/2016,296,0
25/07/2016,297,0
26/07/2016,298,0
27/07/2016,299,0
28/07/2016,300,0
29/07/2016,301,0
30/07/2016,302,0
31/07/2016,303,0
01/08/2016,304,0
02/08/2016,305,0
03/08/2016,306,0
04/08/2016,307,0
05/08/2016,308,0
06/08/2016,309,0
07/08/2016,310,0
08/08/2016,311,0
09/08/2016,312,0
10/08/2016,313,0
11/08/2016,314,0
12/08/2016,315,0
13/08/2016,316,0
14/08/2016,317,0
15/08/2016,318,0
16/08/2016,319,0
17/08/2016,320,0
18/08/2016,321,0
19/08/2016,322,0
20/08/2016,323,0
21/08/2016,324,0
22/08/2016,325,0
23/08/2016,326,0
24/08/2016,327,0
25/08/2016,328,0
26/08/2016,329,0
27/08/2016,330,0
28/08/2016,331,0
29/08/2016,332,0
30/08/2016,333,0
31/08/2016,334,0
01/09/2016,335,0
02/09/2016,336,0
03/09/2016,337,0
04/09/2016,338,0
05/09/2016,339,0
06/09/2016,340,0
07/09/2016,341,0
08/09/2016,342,0
09/09/2016,343,0
10/09/2016,344,0
11/09/2016,345,0
12/09/2016,346,0
13/09/2016,347,0
14/09/2016,348,0
15/09/2016,349,0
16/09/2016,350,0
17/09/2016,351,0
18/09/2016,352,0
19/09/2016,353,0
20/09/2016,354,0
21/09/2016,355,0
22/09/2016,356,0
23/09/2016,357,0
24/09/2016,358,0
25/09/2016,359,0
26/09/2016,360,0
27/09/2016,361,0
28/09/2016,362,0
29/09/2016,363,0
30/09/2016,364,0
01/10/2016,365,0
02/10/2016,366,0
03/10/2016,367,0
04/10/2016,368,0
05/10/2016,369,0
06/10/2016,370,0
07/10/2016,371,0
08/10/2016,372,0
09/10/2016,373,0
10/10/2016,374,0
11/10/2016,375,0
12/10/2016,376,0
13/10/2016,377,0
14/10/2016,378,0
15/10/2016,379,0
16/10/2016,380,0
17/10/2016,381,0
18/10/2016,382,0
19/10/2016,383,0
20/10/2016,384,0
21/10/2016,385,0
22/10/2016,386,0
23/10/2016,387,0
24/10/2016,388,0
25/10/2016,389,0
26/10/2016,390,0
27/10/2016,391,0
28/10/2016,392,0
29/10/2016,393,0
30/10/2016,394,0
31/10/2016,395,0
01/11/2016,396,0
02/11/2016,397,0
03/11/2016,398,0
04/11/2016,399,0
05/11/2016,400,0
06/11/2016,401,0
07/11/2016,402,0
08/11/2016,403,0
09/11/2016,404,0
10/11/2016,405,0
11/11/2016,406,0
12/11/2016,407,0
13/11/2016,408,0
14/11/2016,409,0
15/11/2016,410,0
16/11/2016,411,0
17/11/2016,412,0
18/11/2016,413,0
19/11/2016,414,0
20/11/2016,415,0
21/11/2016,416,0
22/11/2016,417,0
