"","median","vector_days","Temperature"
"X2016.01.01.10.00.00","313.0985",2016-01-01,39.9485
"X2016.01.02.10.00.00","312.7950",2016-01-02,39.645
"X2016.01.03.10.00.00","312.2999",2016-01-03,39.1499
"X2016.01.04.10.00.00","312.9688",2016-01-04,39.8188
"X2016.01.05.10.00.00","316.8783",2016-01-05,43.7283
"X2016.01.06.10.00.00","320.4908",2016-01-06,47.3408
"X2016.01.07.10.00.00","316.8605",2016-01-07,43.7105
"X2016.01.08.10.00.00","316.6497",2016-01-08,43.4997
"X2016.01.09.10.00.00","316.0591",2016-01-09,42.9091
"X2016.01.10.10.00.00","315.5476",2016-01-10,42.3976
"X2016.01.11.10.00.00","311.8547",2016-01-11,38.7047
"X2016.01.12.10.00.00","305.4056",2016-01-12,32.2556
"X2016.01.13.10.00.00","305.9911",2016-01-13,32.8411
"X2016.01.14.10.00.00","305.5950",2016-01-14,32.4450000000001
"X2016.01.15.10.00.00","305.8451",2016-01-15,32.6951
"X2016.01.16.10.00.00","302.4656",2016-01-16,29.3156
"X2016.01.17.10.00.00","302.0581",2016-01-17,28.9081
"X2016.01.18.10.00.00","304.1796",2016-01-18,31.0296
"X2016.01.19.10.00.00","302.8894",2016-01-19,29.7394
"X2016.01.20.10.00.00","300.1839",2016-01-20,27.0339
"X2016.01.21.10.00.00","298.3288",2016-01-21,25.1788
"X2016.01.22.10.00.00","295.5606",2016-01-22,22.4106
"X2016.01.23.10.00.00","299.7251",2016-01-23,26.5751
"X2016.01.24.10.00.00","298.8175",2016-01-24,25.6675
"X2016.01.25.10.00.00","301.8002",2016-01-25,28.6502
"X2016.01.26.10.00.00","302.3452",2016-01-26,29.1952
"X2016.01.27.10.00.00","303.0946",2016-01-27,29.9446
"X2016.01.28.10.00.00","304.9710",2016-01-28,31.821
"X2016.01.29.10.00.00","305.1762",2016-01-29,32.0262
"X2016.01.30.10.00.00","307.0511",2016-01-30,33.9011
"X2016.01.31.10.00.00","308.5792",2016-01-31,35.4292
"X2016.02.01.10.00.00","309.4326",2016-02-01,36.2826
"X2016.02.02.10.00.00","309.9313",2016-02-02,36.7813
"X2016.02.03.10.00.00","308.6789",2016-02-03,35.5289
"X2016.02.04.10.00.00","307.3774",2016-02-04,34.2274
"X2016.02.05.10.00.00","307.4757",2016-02-05,34.3257
"X2016.02.06.10.00.00","307.4465",2016-02-06,34.2965
