"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4001"	4001	0.567159655182693	0.0547514184798695	0.433820951488885	0.922709433738607	0.737915400277188	5.33398955873023	10.4820387823622	0.376080944547185	-151.07762836813
"4007"	4007	0.570464611025101	0.0535291592742956	0.422690497827833	0.967148574034153	0.743388695079376	5.41106728213337	10.2747686483863	0.396430936881517	-150.7084585422
"4013"	4013	0.568649028315924	0.0535584368836893	0.419683924769838	0.970838294950132	0.766984940247479	5.34382274973346	10.2306161741388	0.389310945620444	-151.375228064017
"4019"	4019	0.581618347842255	0.0534821893272579	0.391312385064884	0.930538095472983	0.727018486681765	5.35892453069116	10.6712353089031	0.372124166484111	-152.517931512988
"4025"	4025	0.566610317419638	0.0549841055392922	0.380502442510476	0.960552940622317	0.717701290966505	5.19981167950145	10.7317212216419	0.382557439669239	-150.679000337863
"4031"	4031	0.558367051333461	0.0547704460422199	0.388928651381792	0.950636591867085	0.71016903509562	5.132451865381	10.7089320826703	0.380933245787568	-152.24351125414
"4037"	4037	0.576622646468652	0.0546938632274565	0.387921319731636	0.947940382889193	0.673403510255818	5.35701219019416	11.7974850159602	0.383120472525892	-151.231293743152
"4043"	4043	0.583784913377873	0.0557425887296248	0.367696331876109	0.944719435442852	0.673530481910197	5.34426370213009	11.8441824183982	0.387493119672372	-153.201283940348
"4049"	4049	0.581899964842389	0.057399653223904	0.355008793596035	0.966791451389658	0.663030525751834	5.44936179128715	11.8165694697834	0.386067254628143	-152.548672337338
"4055"	4055	0.560850988134055	0.0570118956004518	0.348111785102804	0.947060958951718	0.709820013683	5.57027640268391	12.1697145648075	0.377304061270865	-151.373323244887
"4061"	4061	0.567579970639948	0.056705341679389	0.358968160353349	0.923105551984869	0.704967781060432	5.5536956762282	12.4894060030414	0.383247447622456	-150.194747756861
"4067"	4067	0.565281669991023	0.059157610561133	0.351462502231588	0.939149560680833	0.725475111425221	5.53571356308612	12.2958234611037	0.394710358434254	-150.25670975406
"4073"	4073	0.573960779818997	0.0591298539728668	0.349810158611947	0.958282934775556	0.723812597211003	5.60988442852259	12.3014172676368	0.366542085914702	-150.474992836635
"4079"	4079	0.573793712937321	0.0583796171148132	0.355628974149677	0.964957663458401	0.743419236794258	5.61673080513649	12.3643077537161	0.368548953594712	-150.749634885949
"4085"	4085	0.583239016722925	0.0603703700048635	0.349353146228491	0.990112439510722	0.727497903653416	5.66357335146546	13.1125423698825	0.393100184861326	-153.27610415263
"4091"	4091	0.583761985321409	0.0596837664748611	0.353552229403085	0.982859657091151	0.73893643149584	5.72721921262219	13.8563304832834	0.388037445848986	-153.121747603415
"4097"	4097	0.574923329621121	0.0589446455176153	0.347340534745213	0.900013403336237	0.755362447681698	5.8530351776276	13.8854350273538	0.373457024565918	-152.027293068924
"4103"	4103	0.57072107933753	0.0594158885786474	0.349153791037535	0.910950509624864	0.750519355291933	5.70799620846681	13.7622607619121	0.358236931359544	-151.018350818109
"4109"	4109	0.576264083270972	0.0590824637876988	0.349717105084728	0.904464356428052	0.744178903563442	5.74871429858648	13.7650399930167	0.357020370240589	-152.127557447431
"4115"	4115	0.579025079350762	0.0566017874425317	0.34739742254021	0.9648663486274	0.734467383384913	5.76761637279814	13.2137935699667	0.327013167626308	-151.479773273061
"4121"	4121	0.571847829449855	0.0558525017956715	0.350175397663232	0.945233792089712	0.737605873265863	5.7683984542341	12.8972851781235	0.327190542948363	-150.445583369325
"4127"	4127	0.571134181393698	0.0566469616673242	0.344303063852688	0.921320944620512	0.738199440436301	5.71321415446812	13.0748507131443	0.358165523155919	-150.264297509448
"4133"	4133	0.564812638218457	0.0572038710156881	0.344725307958598	0.943064267451953	0.726225108732871	5.45661132073093	13.6244776421759	0.387643188391578	-150.179537860808
"4139"	4139	0.566492252348091	0.0563968593163931	0.340279108979778	0.937180550426365	0.695489774500965	5.51991466962604	13.6522726296428	0.376675383359777	-150.630549741537
"4145"	4145	0.5798101885735	0.0587608322809021	0.336264048964366	0.968116559290315	0.711625465235242	5.26934874276381	13.5032737665045	0.376319969466127	-151.265652654694
"4151"	4151	0.572703119105206	0.0604570341805394	0.348732655722164	0.940590088987625	0.732787386245324	5.11908188413399	13.5684635132437	0.401820127291355	-150.546071988219
"4157"	4157	0.575069444064525	0.0610217763740634	0.337646662759214	0.933183539832417	0.736937500216646	5.12279696632685	13.4365612240524	0.397164593526029	-150.911108236655
"4163"	4163	0.581507838520884	0.0605043080465775	0.336352943745909	0.957483643932747	0.708815539270541	5.17437160933878	13.3444125047061	0.399278739984402	-151.610918575819
"4169"	4169	0.569390894185365	0.0604634895869721	0.322728688119331	0.949309071329465	0.708404959162009	5.05370345130645	13.4779738506597	0.393839527568566	-149.975747504877
"4175"	4175	0.569193374405338	0.0621590831956021	0.324718350940262	0.936670174064247	0.711836390460667	5.24203703978422	13.0746641394568	0.384153844172762	-150.112863858043
"4181"	4181	0.565292529056264	0.0611045089419051	0.330452891497591	0.994682762046386	0.750872056242564	5.21002438717159	13.307040868606	0.386750713913266	-154.266682487079
"4187"	4187	0.571011847492135	0.0592709410179806	0.317803776898875	0.92827673870678	0.795467984787952	5.31066725926325	13.0139385729983	0.386239183676577	-150.417459825135
"4193"	4193	0.571416208315974	0.0601970383728251	0.325102481751698	0.954100660831048	0.777384771508776	5.43982828824558	12.7072253790141	0.390756168207288	-150.561990826823
"4199"	4199	0.563978586361592	0.0600759280160204	0.329970301664924	0.933710775531185	0.727628119757288	5.40941292024144	13.102680769968	0.387350099535401	-150.256762488913
"4205"	4205	0.565491537857	0.0590545962669198	0.328705658434631	0.954031844287268	0.72570384966964	5.25094215228267	13.0055605142775	0.38661564261766	-150.373372786834
"4211"	4211	0.574723049977368	0.0577651421044582	0.33344522032892	0.935878401110352	0.691277958103522	5.33673990032043	12.8838231617038	0.401870897312644	-150.749581087602
"4217"	4217	0.56137652962918	0.0561144827262041	0.334734444271072	0.923245695488158	0.694334504732052	5.11835860448054	12.7863837595282	0.407890338714925	-151.492465901363
"4223"	4223	0.563674042471648	0.0531905657452148	0.332536447013624	0.953058971517677	0.667948796096336	4.77594281085422	12.1407297349969	0.407366254045079	-154.448988517964
"4229"	4229	0.575127361473773	0.0620797506644112	0.314102902775653	0.918688845081856	0.630877670536192	3.43000135983086	13.2832711352193	0.441310547665753	-152.97984539954
"4235"	4235	0.579959807948301	0.0557507755553316	0.356656038743282	0.935079523353002	0.662612437651877	4.35198274284035	13.1572132375924	0.422083335153401	-152.958308594664
"4241"	4241	0.578384596808203	0.0663100794939565	0.158795448492722	0.929918005599136	0.818506480298843	2.12242470660623	13.3618278794026	0.586435372165964	-151.586685449666
"4247"	4247	0.572603931569136	0.0538061417090415	0.246158990819872	0.909511817478217	0.899645802815395	2.39495967590636	13.8273543363071	0.565182134491801	-151.359530010731
"4253"	4253	0.568197785010799	0.0655754537124909	0.0962225772153673	0.926560530078518	0.922642611160693	3.11594859781703	12.3985213344234	0.766174825193177	-151.520938382974
"4259"	4259	0.574108056256634	0.0644239196718779	0.208881266832341	0.920648266531975	0.855161787109239	3.32500762570256	12.3666395945153	0.640657352058707	-151.506142858658
"4265"	4265	0.580521192780772	0.0684068161881012	0.226205658091252	0.952839311755691	0.741172806027446	2.81256620358584	13.352029907309	0.552992690948525	-151.492568478398
"4271"	4271	0.575632169981012	0.0445690288781225	0.462897518866832	0.977858131818534	0.79100590736611	7.64335855404936	11.358023183977	0.576350474524951	-151.312578214466
"4277"	4277	0.574895322043056	0.0434008826823413	0.485162052031735	0.982607993350259	0.77270650822668	5.62991252098208	13.4891639697256	0.532319144077507	-151.550345997098
"4283"	4283	0.576286940966187	0.0567906354816828	0.326102663269389	0.957472275920506	0.833266743741035	4.18870566397816	13.7014927684978	0.525086016428799	-151.084591657563
"4289"	4289	0.577082210459923	0.0534526279165816	0.384402358616411	0.939320652707831	0.712974518460262	3.90650879392996	11.1538815334995	0.503255573768941	-151.059461514925
"4295"	4295	0.577124305337995	0.0559814503956872	0.409594165096771	0.961517618558649	0.741878082310639	7.17695224982008	9.91326253222754	0.68611371450526	-153.343756154944
"4301"	4301	0.57290136142805	0.0417446914391827	0.531376118705673	0.919477022066985	0.737907615294886	8.33786815675573	10.6090231772127	0.58398083686664	-150.967457605694
"4307"	4307	0.574566029683091	0.0447992789152937	0.586696978498231	0.943696082647741	0.672121538547013	8.36814983771522	10.9762429708559	0.344846739728293	-151.66271094288
"4313"	4313	0.567038350546137	0.0434594888971994	0.570200805868592	0.915105024646853	0.722718086230165	8.32123884658387	11.8915687793058	0.373858719907842	-150.74212544681
"4319"	4319	0.567038350546137	0.0434594888971994	0.570200805868592	0.915105024646853	0.722718086230165	8.32123884658387	11.8915687793058	0.373858719907842	-150.74212544681
"4325"	4325	0.567038350546137	0.0434594888971994	0.570200805868592	0.915105024646853	0.722718086230165	8.32123884658387	11.8915687793058	0.373858719907842	-150.74212544681
"4331"	4331	0.563819703424051	0.0405206981046797	0.676543245023922	0.862409067007282	0.744030308490684	8.81027474709988	12.6276740064397	0.29859109951123	-154.864934194621
"4337"	4337	0.563819703424051	0.0405206981046797	0.676543245023922	0.862409067007282	0.744030308490684	8.81027474709988	12.6276740064397	0.29859109951123	-154.864934194621
"4343"	4343	0.563819703424051	0.0405206981046797	0.676543245023922	0.862409067007282	0.744030308490684	8.81027474709988	12.6276740064397	0.29859109951123	-154.864934194621
"4349"	4349	0.567509554137849	0.0501692539867295	0.517456724794359	0.874052192619231	0.795874397998982	7.25654456126595	13.1853369682544	0.511216467492295	-155.207591723878
"4355"	4355	0.568194347844621	0.0629789036587381	0.290698551778821	0.925374603945255	0.799491893876358	8.27958193994262	13.1110817998866	0.715109455534767	-153.501650398076
"4361"	4361	0.571108056734988	0.0573512158909082	0.335485365321667	0.953570303577716	0.805051617016492	7.09307834051225	13.952866795516	0.552038917316766	-151.316123527346
"4367"	4367	0.571108056734988	0.0573512158909082	0.335485365321667	0.953570303577716	0.805051617016492	7.09307834051225	13.952866795516	0.552038917316766	-151.316123527346
"4373"	4373	0.568437311156666	0.0590578511786024	0.355650892965143	0.969110414668288	0.699133038023322	8.01217893239794	13.9287806753009	0.538528833892642	-152.31915748841
"4379"	4379	0.564506482762429	0.0584195968464464	0.177057915373412	0.958510380815818	0.854017517231424	8.0547540001528	13.3836527495133	0.808883196276674	-154.145854794332
"4385"	4385	0.561477108877459	0.0546094754174583	0.244128676985029	0.947889490973589	0.767700533780364	8.99549083540867	13.6449127236968	0.722612537378062	-155.021798349811
"4391"	4391	0.564049357086611	0.070431406962156	0.142960020415088	0.937604923487302	0.723824270777872	5.50882873795888	13.87909286882	0.45410532247603	-152.082133787671
